time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,forest_cover
2022-03-21 01:50:31.787524352,468271.59586284414,7194571.527089605,166.70818410291116,0.8733131433368929,167.27472413525905,0.022061613803690344,0.04700651523803631,5,0.5665400323478877,-0.30677311098900517,-147.6696848062465,64.87392278401909,41.0,Deciduous Forest,57.27519443476357
2022-03-21 01:50:31.788916992,468270.45514038723,7194561.578918804,166.69974529083692,0.9096425054940892,167.56203323168887,0.021601140538938236,0.008138865587974348,5,0.8622879408519566,-0.04735456464213261,-147.66970665926328,64.87383341739925,41.0,Deciduous Forest,58.73128616938603
2022-03-21 01:50:31.790307072,468269.3162527308,7194551.648384713,166.92398266606187,0.90408201388148,167.61118042372465,0.02117283438459566,0.000827548080277847,5,0.6871977576627728,-0.21688425621870722,-147.6697284773526,64.87374420919191,52.0,Shrub,54.6671808440929
2022-03-21 01:50:31.791699456,468268.1746179056,7194541.700353547,166.93231168541843,0.8480684642907592,167.5348316803159,0.021444473021705858,-0.017858312621643828,5,0.6025199948974773,-0.2455484693932819,-147.66975034936908,64.87365484373002,52.0,Shrub,50.57878345508254
2022-03-21 01:50:31.793089536,468267.0328294074,7194531.770147092,166.5410214984041,0.7098559895101533,167.30068220427034,0.02085527576874354,-0.03085910492186541,5,0.7596607058662528,0.04980471635609951,-147.66977222846666,64.87356563817862,52.0,Shrub,51.50331393888535
2022-03-21 01:50:31.794480896,468265.8869368755,7194521.822663684,166.52810077615715,0.7856035662080662,167.11917390751668,0.01690889838821664,-0.007821833285763679,5,0.5910731313595363,-0.19453043484852983,-147.6697941901758,64.87347627721876,52.0,Shrub,56.87195098691827
2022-03-21 01:50:31.795872768,468264.741276966,7194511.892939788,166.53430862721197,0.7680463500075972,167.1683491558977,0.01559620140025661,0.01926473043833477,5,0.6340405286857163,-0.134005821321881,-147.66981615079848,64.87338707562107,52.0,Shrub,63.65577155970776
2022-03-21 01:50:31.797268224,468263.590454352,7194501.946006129,166.88115489357207,0.7086773355187338,167.43783659798493,0.018140383811577072,0.03384566460830875,5,0.5566817044128527,-0.1519956311058811,-147.66983821638917,64.87329771911718,52.0,Shrub,69.22833911220428
2022-03-21 01:50:31.798660608,468262.4367263171,7194492.0172651075,167.3127363139879,0.6727791455175586,167.83740714795994,0.02123107147710855,0.04208744443000159,5,0.5246708339720385,-0.14810831154552007,-147.6698603472165,64.87320852556354,52.0,Shrub,72.7475168884862
2022-03-21 01:50:31.800057856,468261.2752443865,7194482.071548164,167.59079410859917,0.7795305449942209,168.20697520271997,0.020208990826368907,0.02586442610481078,5,0.6161810941208046,-0.16334945087341635,-147.66988263774758,64.87311917895559,52.0,Shrub,74.01134677181142
2022-03-21 01:50:31.801454080,468260.11354627064,7194472.143802137,167.8164933589271,0.7961006776366784,168.44650372944312,0.018381676979561477,0.020208847948212,5,0.6300103705160325,-0.16609030712064587,-147.66990493670963,64.87302999356393,52.0,Shrub,72.72751389221692
