,time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,geometry,land_cover_value,land_cover,forest_cover
30,2022-04-23 00:18:19.698130176,440525.9890702068,7177441.832579253,135.2994705755959,0.8204837969415576,135.7974593929653,0.0189741192013978,-0.0030679248368044,1,0.4979888173693609,-0.3224949795721966,-148.2480508576117,64.71646793571276,POINT (-148.2480508576117 64.71646793571276),52.0,Shrub,41.49433931088517
31,2022-04-23 00:18:19.699537920,440524.5511550808,7177431.939544862,135.25359564752316,0.6523543686238655,135.79058744029507,0.0207782536614316,0.000557899209112,1,0.5369917927719143,-0.1153625758519512,-148.2480769348126,64.7163789311,POINT (-148.2480769348126 64.7163789311),52.0,Shrub,45.08066351890906
32,2022-04-23 00:18:19.700947712,440523.1147387172,7177422.02852606,135.1756355759346,0.7159314059579477,135.6969349912833,0.0216902306360752,-0.0182484537082367,1,0.5212994153487216,-0.1946319906092261,-148.2481029729706,64.7162897654085,POINT (-148.2481029729706 64.7162897654085),52.0,Shrub,51.30405713596528
33,2022-04-23 00:18:19.702354176,440521.6859327063,7177412.134222236,135.1243826729818,0.7293801330411698,135.61172813059846,0.0229087824277525,0.0008905168688539,1,0.4873454576166693,-0.2420346754245004,-148.2481288582139,64.71620075100688,POINT (-148.2481288582139 64.71620075100688),52.0,Shrub,57.47669252528077
34,2022-04-23 00:18:19.703762176,440520.2665287466,7177402.220983273,135.14758174592026,0.6946504850695291,135.55896700107198,0.0264538226659502,-0.0083670391829231,1,0.4113852551517141,-0.283265229917815,-148.24815453822342,64.71611156839438,POINT (-148.24815453822342 64.71611156839438),52.0,Shrub,60.68396523530185
35,2022-04-23 00:18:19.705167872,440518.8591544082,7177392.323981183,135.1313905298162,0.6983859735961377,135.45612353322434,0.0291436685532467,-0.0069263585386947,1,0.3247330034081415,-0.3736529701879962,-148.24817997241493,64.71602253356387,POINT (-148.24817997241493 64.71602253356387),52.0,Shrub,60.858372575226944
36,2022-04-23 00:18:19.706574336,440517.4557139973,7177382.4087000005,134.9537242140476,0.5731501134546739,135.3638983989888,0.0233669636253615,-0.0053104585262152,1,0.4101741849411837,-0.1629759285134902,-148.2482053163601,64.7159333354417,POINT (-148.2482053163601 64.7159333354417),52.0,Shrub,59.9319138619851
37,2022-04-23 00:18:19.707979776,440516.0600351966,7177372.510152451,134.8206553026881,0.6218199979661297,135.28367021835712,0.0256508062730417,-0.0085182370378145,1,0.4630149156690208,-0.1588050822971088,-148.2482305042322,64.71584428880382,POINT (-148.2482305042322 64.71584428880382),52.0,Shrub,60.099964481414084
38,2022-04-23 00:18:19.709385472,440514.667378548,7177362.593464946,134.74374906295822,0.6794241433804367,135.28742269367154,0.0248848658594524,0.0033759825152805,1,0.5436736307133287,-0.1357505126671079,-148.2482556210448,64.7157550799614,POINT (-148.2482556210448 64.7157550799614),52.0,Shrub,61.271546409471284
39,2022-04-23 00:18:19.710788864,440513.2814629697,7177352.693677114,134.83552763845705,0.7402313115149545,135.3218440483027,0.0225396344861527,0.0044635437339666,1,0.4863164098456138,-0.2539149016693406,-148.24828060326476,64.71566602391256,POINT (-148.24828060326476 64.71566602391256),52.0,Shrub,61.83137209794208
