time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,geometry
2022-10-04 16:35:35.723203072,434285.46641431784,7774399.019502168,33.30056059444418,0.02733722578120173,32.826928520729155,0.01686528704200314,0.0019628379849018405,3,-0.4736320737150237,-0.5009692994962254,-148.72740876452252,70.06810142794471,11.0,Open Water,POINT (-148.72740876452252 70.06810142794471)
2022-10-04 16:35:35.724619008,434283.92634012224,7774389.1260041045,33.299511038503645,0.02602460605665701,32.84296760854574,0.01582926228322344,0.0003593258322818639,3,-0.45654342995790387,-0.4825680360145609,-148.7274418554477,70.06801236050674,11.0,Open Water,POINT (-148.7274418554477 70.06801236050674)
2022-10-04 16:35:35.726036736,434282.3869530684,7774379.245550212,33.3074795417289,0.02523492317500493,32.91167298894164,0.016689230156423887,0.011740147981650633,3,-0.3958065527872634,-0.4210414759622683,-148.72747493775745,70.06792341015253,11.0,Open Water,POINT (-148.72747493775745 70.06792341015253)
2022-10-04 16:35:35.727455744,434280.84376833274,7774369.352155578,33.41812068822315,0.027174328585283902,32.98591722386273,0.016678446008631973,0.003064788708392863,3,-0.4322034643604198,-0.4593777929457037,-148.72750810991874,70.06783434283788,11.0,Open Water,POINT (-148.72750810991874 70.06783434283788)
2022-10-04 16:35:35.728871936,434279.3019775464,7774359.472457016,33.39198281681707,0.012951872936571249,32.992601461691706,0.0169275880717259,0.0011703736460584686,3,-0.39938135512536377,-0.412333228061935,-148.7275412553813,70.06774539862961,11.0,Open Water,POINT (-148.7275412553813 70.06774539862961)
2022-10-04 16:35:35.730292480,434277.75276158925,7774349.579964643,33.50309968306917,0.03399873740489724,33.03826270959121,0.018611328930769513,0.00681508112576822,3,-0.46483697347796493,-0.49883571088286216,-148.72757458610096,70.06765633785588,11.0,Open Water,POINT (-148.72757458610096 70.06765633785588)
2022-10-04 16:35:35.731711744,434276.2020941677,7774339.701751122,33.5401842745386,0.0140343159058415,33.047619387709375,0.01909572034292816,-0.001077971309688164,3,-0.4925648868292285,-0.50659920273507,-148.72760796530676,70.06756740468886,11.0,Open Water,POINT (-148.72760796530676 70.06756740468886)
2022-10-04 16:35:35.733132544,434274.64454448957,7774329.810837408,33.49475156839448,0.002658374854567706,33.02174953483779,0.01744838900780771,0.0030835547565227993,3,-0.4730020335566891,-0.47566040841125684,-148.72764151557266,70.06747835593332,11.0,Open Water,POINT (-148.72764151557266 70.06747835593332)
2022-10-04 16:35:35.734550784,434273.0799890688,7774319.934741007,33.59664568682854,0.029904211178157784,33.06595402187493,0.017007922345132757,0.006038270520342006,3,-0.5306916649536078,-0.5605958761317655,-148.72767526063853,70.06738943819897,11.0,Open Water,POINT (-148.72767526063853 70.06738943819897)
2022-10-04 16:35:35.735969792,434271.5061709718,7774310.046399916,33.53247817703678,0.02929193038781312,33.09711968690522,0.018001751930549568,-0.002453576270023087,3,-0.4353584901315557,-0.46465042051936883,-148.72770923963378,70.0673004083536,11.0,Open Water,POINT (-148.72770923963378 70.0673004083536)
2022-10-04 16:35:35.737387008,434269.92748163076,7774300.17249375,33.55948641796036,0.019678765472630578,33.11219132888721,0.016041312746915847,0.005985529365740823,3,-0.4472950890731511,-0.46697385454578166,-148.7277433570651,70.06721150664438,11.0,Open Water,POINT (-148.7277433570651 70.06721150664438)
2022-10-04 16:35:35.738807040,434268.33843684685,7774290.286705498,33.60488035956938,0.027159289474722927,33.112921634955065,0.015768954370062663,-0.0027642557655104274,3,-0.4919587246143138,-0.5191180140890367,-148.72777773739776,70.06712249579618,11.0,Open Water,POINT (-148.72777773739776 70.06712249579618)
2022-10-04 16:35:35.740221952,434266.7433472965,7774280.415362894,33.506729297048494,0.015482689470270412,33.11074889793724,0.015491246021975892,0.005560288143064931,3,-0.39598039911125227,-0.4114630885815227,-148.72781228699895,70.06703361288174,11.0,Open Water,POINT (-148.72781228699895 70.06703361288174)
2022-10-04 16:35:35.741639424,434265.14279632975,7774270.5312643405,33.50378882846967,0.016004272959188725,33.157130211806916,0.013748285910692621,0.005031830464757854,3,-0.3466586166627579,-0.3626628896219466,-148.7278469702778,70.06694461423957,11.0,Open Water,POINT (-148.7278469702778 70.06694461423957)
2022-10-04 16:35:35.743054080,434263.5277583385,7774260.663247362,33.61883149358947,0.026603180777182354,33.15424478016931,0.015444328981690368,-0.0028214996126676006,3,-0.4645867134201609,-0.49118989419734327,-148.7278820458182,70.06685575604801,11.0,Open Water,POINT (-148.7278820458182 70.06685575604801)
2022-10-04 16:35:35.744466944,434261.88768406207,7774250.785763283,33.59645669170568,0.01973980232933674,33.160735410752515,0.016723580079507,0.003989865191739315,3,-0.4357212809531674,-0.4554610832825042,-148.7279177717096,70.06676680663091,52.0,Shrub,POINT (-148.7279177717096 70.06676680663091)
