time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,beam,residual,snow_depth_residual,lon,lat,geometry
2022-03-04 02:48:03.958290944,435675.3178989407,7773660.622570257,34.00107523116323,0.49658602857104756,34.38477302378816,0.009333479026874652,5,0.3836977926249361,-0.11288823594611147,-148.6903563566075,70.0618324524202,POINT (-148.6903563566075 70.0618324524202)
2022-03-04 02:48:03.959700480,435673.79247413174,7773650.74371308,33.98975540559479,0.5918488718925771,34.43793792027004,0.00970492826069426,5,0.4481825146752456,-0.14366635721733145,-148.69038922251153,70.06174352648797,POINT (-148.69038922251153 70.06174352648797)
2022-03-04 02:48:03.961112320,435672.26626205,7773640.851699365,34.05483857919603,0.5836405512381708,34.44319953530452,0.010136719184834785,5,0.3883609561084924,-0.1952795951296784,-148.69042209922898,70.06165448242811,POINT (-148.69042209922898 70.06165448242811)
2022-03-04 02:48:03.962520576,435670.74631952535,7773630.972067668,33.92446199310604,0.4890848734640797,34.40668797742856,0.009277706240231394,5,0.4822259843225183,-0.006858889141561408,-148.6904548200287,70.06156555090381,POINT (-148.6904548200287 70.06156555090381)
2022-03-04 02:48:03.963933696,435669.22979319526,7773621.078621142,33.943574947068214,0.5783611462155757,34.41226055027374,0.00940387145392734,5,0.4686856032055289,-0.10967554301004678,-148.69048744076437,70.06147649639685,POINT (-148.69048744076437 70.06147649639685)
2022-03-04 02:48:03.965344768,435667.7209340954,7773611.197281577,33.968096118970834,0.6270716333856625,34.48485349551158,0.009993367616009967,5,0.5167573765407454,-0.11031425684491714,-148.69051986867782,70.06138755230779,POINT (-148.69051986867782 70.06138755230779)
2022-03-04 02:48:03.966757888,435666.21561430936,7773601.302141894,34.0763188808768,0.5622417742675023,34.53800386198747,0.008660577589430061,5,0.4616849811106718,-0.10055679315683053,-148.69055219330738,70.06129848539868,POINT (-148.69055219330738 70.06129848539868)
2022-03-04 02:48:03.968165632,435664.7173207067,7773591.419169551,34.06878567487874,0.5075563546258185,34.54179119935652,0.009301434934796822,5,0.47300552447777733,-0.03455083014804117,-148.69058434199923,70.0612095292894,POINT (-148.69058434199923 70.0612095292894)
2022-03-04 02:48:03.969579008,435663.22294474905,7773581.522391158,34.147809987779894,0.6095755131946299,34.58393006347976,0.010192724295502338,5,0.43612007569986844,-0.17345543749476144,-148.6906163774695,70.06112045040112,POINT (-148.6906163774695 70.06112045040112)
2022-03-04 02:48:03.970988544,435661.73625057435,7773571.637605477,34.16482830824464,0.5429401669329578,34.629529064132655,0.010285071385145832,5,0.4647007558880176,-0.07823941104494014,-148.69064821966103,70.06103148091061,POINT (-148.69064821966103 70.06103148091061)
2022-03-04 02:48:03.972399872,435660.25260676164,7773561.739141927,34.21995897236508,0.517648454189722,34.67962312856299,0.00999532310994929,5,0.4596641561979098,-0.05798429799181226,-148.69067997150503,70.06094238957448,POINT (-148.69067997150503 70.06094238957448)
2022-03-04 02:48:03.973809152,435658.77588288294,7773551.852933865,34.203456024394,0.5935277507519648,34.72085677508642,0.01009719866563966,5,0.517400750692417,-0.07612700005954787,-148.6907115502745,70.06085340980219,POINT (-148.6907115502745 70.06085340980219)
2022-03-04 02:48:03.975220992,435657.30094398954,7773541.95314532,34.230568888178624,0.4880443414778139,34.66479246142319,0.00987585173398729,5,0.43422357324456584,-0.05382076823324805,-148.69074307200242,70.06076430874252,POINT (-148.69074307200242 70.06076430874252)
2022-03-04 02:48:03.976630528,435655.8324007653,7773532.06568323,34.306501616081604,0.4386329114766396,34.66458075556856,0.008077576391096545,5,0.3580791394869536,-0.080553771989686,-148.69077443447983,70.06067531975252,POINT (-148.69077443447983 70.06067531975252)
2022-03-04 02:48:03.978041600,435654.3594187853,7773522.165537648,34.32898985178828,0.5357777306996041,34.72458169113134,0.009723515877413417,5,0.3955918393430622,-0.14018589135654191,-148.69080590402277,70.06058621596729,POINT (-148.69080590402277 70.06058621596729)
2022-03-04 02:48:03.979451648,435652.89914564864,7773512.276801037,34.28905536440095,0.5069331400056131,34.709391522026905,0.010990069958361092,5,0.4203361576259539,-0.08659698237965918,-148.69083704784927,70.06049721759835,POINT (-148.69083704784927 70.06049721759835)
2022-03-04 02:48:03.980860928,435651.4546699758,7773502.372475932,34.36869349105653,0.4451594006513695,34.728399998910426,0.010431825390861255,5,0.35970650785389324,-0.08545289279747625,-148.69086776517432,70.06040808342932,POINT (-148.69086776517432 70.06040808342932)
2022-03-04 02:48:03.982267904,435650.01381547935,7773492.480781683,34.388782691860364,0.5287655559489298,34.74384566191184,0.009530326626848957,5,0.3550629700514776,-0.17370258589745224,-148.69089839634526,70.06031906336865,POINT (-148.69089839634526 70.06031906336865)
2022-03-04 02:48:03.983677440,435648.5693086738,7773482.576416238,34.38958573243813,0.49228997285966136,34.76413458285438,0.009012521794249346,5,0.37454885041625374,-0.11774112244340762,-148.69092911394057,70.06022992881867,POINT (-148.69092911394057 70.06022992881867)
2022-03-04 02:48:03.985085440,435647.12313535926,7773472.685518911,34.379342906181826,0.556159651649473,34.781567366337974,0.010140216358349677,5,0.4022244601561482,-0.1539351914933248,-148.69095988485824,70.0601409145664,POINT (-148.69095988485824 70.0601409145664)
2022-03-04 02:48:03.986494464,435645.67007331876,7773462.782410625,34.357322994557066,0.5354399188114565,34.78995346828652,0.010406734196150784,5,0.4326304737294535,-0.10280944508200296,-148.69099082752788,70.06005178914491,POINT (-148.69099082752788 70.06005178914491)
2022-03-04 02:48:03.987900672,435644.2130328956,7773452.893203789,34.35316072857215,0.6516667578458144,34.80586227741454,0.010614564568153823,5,0.45270154884239133,-0.19896520900342307,-148.69102188454758,70.05996278733,POINT (-148.69102188454758 70.05996278733)
2022-03-04 02:48:03.989309440,435642.74609554536,7773442.992180492,34.3514425589003,0.5055235686421631,34.782499465929405,0.010812090532368951,5,0.4310569070291024,-0.0744666616130607,-148.6910531926029,70.05987367713338,POINT (-148.6910531926029 70.05987367713338)
