,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual
777,433663.9852708815,7770526.537164046,39.67422920664951,0.014822871122294553,39.62801,3,-0.04621941050692868,-0.06104228162922323
778,433648.3532554993,7770427.392599232,39.9535511579501,0.01523436487906643,39.865345,3,-0.0882061567293988,-0.10344052160846523
779,433632.13879844715,7770328.264754521,40.092362556146156,0.017994583831325652,40.060387,3,-0.031975898431312544,-0.0499704822626382
780,433616.5289113871,7770229.9709187895,40.591850127133654,0.02614064313486253,40.53395,3,-0.057899321469591314,-0.08403996460445384
781,433600.3122284528,7770130.843299026,40.743153666894045,0.04198913792353918,40.75542,3,0.012267017920407852,-0.029722120003131326
782,433584.1187366357,7770032.566305169,40.5890390719688,0.02390596549436174,40.625248,3,0.03620888335346706,0.012302917859105318
783,433568.4812655131,7769933.422285292,40.85099749970753,0.010207653566808054,40.756535,3,-0.09446292329151618,-0.10467057685832423
785,433537.22742164694,7769735.985076694,40.84156098519438,0.027511167146555125,40.747383,3,-0.0941778675185958,-0.12168903466515094
786,433521.5867209976,7769636.841377033,40.72736182298121,0.01931502393723543,40.66202,3,-0.06534018601831804,-0.08465520995555346
787,433505.3877225221,7769538.564938883,40.710256551300844,0.03856242542303884,40.68834,3,-0.021917317902406808,-0.060479743325445645
788,433489.74484559044,7769439.42145649,40.65403260666008,0.03865053120771427,40.664528,3,0.010495286406325022,-0.02815524480138925
789,433474.10089067864,7769340.278080927,40.596591698700834,0.042259026281515115,40.595783,3,-0.0008084650582560471,-0.04306749133977116
790,433457.8985775368,7769242.001977916,40.53399309525896,0.016146962618632774,40.578083,3,0.04408994307112124,0.027942980452488466
791,433442.2524464065,7769142.858819666,40.55173026309464,0.004895177112123349,40.553883,3,0.0021523357823127753,-0.002742841329810574
792,433426.04791692225,7769044.582941376,40.466773453012756,0.049986610385369556,40.493496,3,0.026722488149353296,-0.02326412223601626
793,433409.8178996748,7768945.4566681525,40.47766743169309,0.04759259578014364,40.55489,3,0.0772222472619859,0.02962965148184226
794,433394.1928638325,7768847.164346923,40.40174331957746,0.02799796132071537,40.635002,3,0.23325881665300585,0.2052608553322905
795,433378.5423803931,7768748.0216233805,41.85999994424691,0.04342370221936311,42.226467,3,0.366467188321451,0.3230434861020879
796,433362.30903482804,7768648.895686022,44.704858281186745,0.0784066183496218,44.37919,3,-0.3256697435890885,-0.4040763619387103
797,433346.09894999,7768550.620371741,42.35705642010042,0.05928527036206236,42.36857,3,0.011512000309735981,-0.04777327005232638
798,433331.0270214074,7768451.46128923,41.92420907488288,0.030488632361523826,42.023193,3,0.09898428449211849,0.06849565213059466
799,433315.37220611656,7768352.3189968895,41.801456610780775,0.03419034621020923,41.927296,3,0.1258390740336779,0.09164872782346867
800,433298.57694844087,7768254.060708885,41.72832720183146,0.03859862170355077,41.81709,3,0.08876187897908494,0.05016325727553417
804,433235.9668372169,7767858.343573253,42.205607545467586,0.031067014702141918,42.449715,3,0.24410711517694494,0.21304010047480304
805,433219.74793234,7767760.069150716,42.8066615883524,0.04162384246123646,42.949963,3,0.1433010276143989,0.10167718515316243
806,433204.08551135956,7767660.927617787,42.92738060647217,0.04269766134525415,43.07865,3,0.15127082175048656,0.1085731604052324
807,433187.86439046275,7767562.653420192,42.970881713586735,0.0449566493997833,43.065342,3,0.09446023587615571,0.04950358647637241
808,433172.199793626,7767463.512104827,42.974047623609366,0.046295569197760476,43.05041,3,0.07636360075586879,0.03006803155810831
