time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover
2022-12-05 00:54:30.588505856,434931.0951048515,7766328.775790637,44.572890170398495,0.046707712808490016,44.77828827360477,0.009269101265731288,-0.004373294306488803,1,0.20539810320627794,0.15869039039778793,51.0,Shrub
2022-12-05 00:54:30.592735232,434928.2062207062,7766358.652615857,44.49396677188807,0.023234656840907492,44.663166900661174,0.00886026345483559,-0.0016557074948327628,1,0.16920012877310597,0.14596547193219847,51.0,Shrub
2022-12-05 00:54:30.594144000,434927.2608566358,7766368.603667794,44.4856291103017,0.02559572993439713,44.644012765261586,0.009510344711330086,-0.0031828265391215488,1,0.15838365495988427,0.13278792502548714,51.0,Shrub
2022-12-05 00:54:30.595555584,434926.3234027823,7766378.569806727,44.42997901850178,0.023834894196808874,44.58798206954175,0.0100051491071414,-0.007987486130385288,1,0.15800305103996948,0.1341681568431606,51.0,Shrub
2022-12-05 00:54:30.599787520,434923.58476801973,7766408.446619293,44.34622624852709,0.002380712666066862,44.469616522109725,0.008987640233307741,-0.0033576487062360874,1,0.12339027358263621,0.12100956091656935,51.0,Shrub
2022-12-05 00:54:30.601201408,434922.70584325795,7766418.418344021,44.33933564426346,0.01432734980527891,44.4659541026971,0.009844201058855454,0.0027182001813655233,1,0.12661845843364006,0.11229110862836114,51.0,Shrub
2022-12-05 00:54:30.602608640,434921.83082802664,7766428.3760819165,44.355962482447424,0.026599078495111003,44.505673901582526,0.009175612279241099,0.006791762843305155,1,0.14971141913510166,0.12311234063999066,51.0,Shrub
2022-12-05 00:54:30.605431040,434920.08097532793,7766448.305927284,44.35211441264248,0.017820660609661823,44.52612134741874,0.00947183165611339,-0.00175679324886762,1,0.1740069347762585,0.1561862741665967,51.0,Shrub
2022-12-05 00:54:30.606841856,434919.20205515804,7766458.277596956,44.34827343552848,0.03893833070511948,44.52806482506045,0.008709974932746565,0.002317003849132936,1,0.17979138953196383,0.14085305882684435,51.0,Shrub
2022-12-05 00:54:30.611069184,434916.5330187341,7766488.161064212,44.500932548481,0.07666490749509443,44.6625895975855,0.010962877807806054,0.004659702412884985,1,0.16165704910449818,0.08499214160940376,51.0,Shrub
2022-12-05 00:54:30.612475136,434915.6263208324,7766498.130086087,44.50362577275699,0.061299983315374326,44.685674506815765,0.010922548615971125,-0.0003252209977293568,1,0.18204873405877464,0.12074875074340032,51.0,Shrub
2022-12-05 00:54:30.613880064,434914.7107733707,7766508.084035593,44.504767962226424,0.06449372165910562,44.707868267498455,0.009910269349341513,0.002864301960473707,1,0.20310030527203082,0.13860658361292522,51.0,Shrub
2022-12-05 00:54:30.615287552,434913.78333286155,7766518.051161786,44.55221785919092,0.06288170366619726,44.75556579541546,0.009479129432269218,0.004091661328435322,1,0.20334793622453873,0.14046623255834145,51.0,Shrub
2022-12-05 00:54:30.619498240,434910.91578460403,7766547.915674212,44.62464833100502,0.07009860949826693,44.82260493085627,0.0103580280645889,-0.0002460258096222934,1,0.1979565998512527,0.12785799035298576,51.0,Shrub
2022-12-05 00:54:30.620900096,434909.90926906344,7766557.875259109,44.625662946326585,0.08260934550805972,44.82165789333353,0.0109471212588754,0.0019625272108510887,1,0.19599494700694464,0.11338560149888492,51.0,Shrub
2022-12-05 00:54:30.622300672,434908.8964663115,7766567.819904119,44.64884631111133,0.07266014623587885,44.84616568249722,0.011088989600707581,0.0035978409028259123,1,0.19731937138589473,0.12465922515001587,51.0,Shrub
2022-12-05 00:54:30.625100800,434906.8536768294,7766587.721898242,44.738614850121365,0.0837234320532185,44.93277435359767,0.010924282187361812,0.0016956412781630697,1,0.19415950347630684,0.11043607142308834,51.0,Shrub
2022-12-05 00:54:30.626502144,434905.82811053866,7766597.6796989525,44.72488830437379,0.031302021751017234,44.92479465554253,0.010032732807301575,-0.003305874424283001,1,0.19990635116873534,0.1686043294177181,51.0,Shrub
2022-12-05 00:54:30.627898880,434904.80391454225,7766607.62325179,44.74074742412587,0.020820793158790783,44.923827320885046,0.009683637782069604,0.0023725077550825545,1,0.1830798967591747,0.1622591036003839,51.0,Shrub
2022-12-05 00:54:30.632100096,434901.74593319144,7766637.484038418,44.670536299035106,0.024743649410538117,44.8754343037064,0.009021945472006363,-0.002740670426811887,1,0.2048980046712927,0.1801543552607546,51.0,Shrub
2022-12-05 00:54:30.640510976,434895.8664938489,7766697.2136649145,44.645073057898074,0.04402316080498878,44.84478805182087,0.010028148613902128,-0.003874620038010221,1,0.19971499392279668,0.1556918331178079,51.0,Shrub
2022-12-05 00:54:30.646136576,434892.20367592387,7766737.057900799,44.66043486970523,0.04770595573484241,44.85865691770916,0.008294390167889203,0.0020159307826011033,1,0.1982220480039345,0.1505160922690921,51.0,Shrub
2022-12-05 00:54:30.653191168,434887.68074914924,7766786.861241166,44.545391724952694,0.02187679738034951,44.74783310680214,0.010206449151303075,0.0004307779302016253,1,0.2024413818494466,0.1805645844690971,51.0,Shrub
2022-12-05 00:54:30.654608640,434886.76910597394,7766796.829858511,44.53866538560881,0.025290679202348194,44.73909551108463,0.009570350182328798,-0.0006584369460465611,1,0.20043012547581895,0.17513944627347075,51.0,Shrub
2022-12-05 00:54:30.656022784,434885.85535006877,7766806.783933204,44.54379822835939,0.030708961442409054,44.725415524361814,0.009036130412731554,0.0005339174537296081,1,0.18161729600242182,0.15090833456001276,51.0,Shrub
2022-12-05 00:54:30.657440000,434884.93655382976,7766816.751823822,44.542929360317316,0.028718177936439986,44.718503264823006,0.010380137383992094,-0.000725565374555549,1,0.17557390450568988,0.1468557265692499,51.0,Shrub
2022-12-05 00:54:30.658858240,434884.0028943331,7766826.704017523,44.523516179632324,0.030557195806461015,44.69926852592065,0.010321263797634246,-0.0024940336438129926,1,0.17575234628832703,0.14519515048186601,51.0,Shrub
2022-12-05 00:54:30.660278784,434883.05121553654,7766836.668794017,44.49004957897729,0.023104137452923224,44.675425789514684,0.009638218282258039,-0.001995698612283692,1,0.18537621053739173,0.1622720730844685,51.0,Shrub
2022-12-05 00:54:30.661698560,434882.09455887583,7766846.618808007,44.46294355771667,0.03555501713403302,44.65386593700817,0.010574199350440816,-0.0023739548752394913,1,0.19092237929150002,0.155367362157467,51.0,Shrub
2022-12-05 00:54:30.663119872,434881.1306245325,7766856.582453839,44.45990190118056,0.0270902033786934,44.63910478405171,0.011383689759090671,0.0014293969400313742,1,0.17920288287115227,0.15211267949245888,51.0,Shrub
2022-12-05 00:54:30.664539136,434880.1622074498,7766866.531313446,44.46728492978451,0.043517043700693564,44.656348781867536,0.009667763328701878,0.0046363095208853105,1,0.18906385208302368,0.1455468083823301,51.0,Shrub
2022-12-05 00:54:30.668805376,434877.22764094715,7766896.403778017,44.43915696262404,0.013578226421348434,44.61761651588303,0.0097705120966596,-1.3247529397169423e-05,1,0.178459553258989,0.16488132683764056,51.0,Shrub
2022-12-05 00:54:30.670225152,434876.24340574053,7766906.351175619,44.450680287544145,0.027516380744679464,44.633747636999765,0.009308195278630563,0.0016284986621647568,1,0.18306734945561942,0.15555096871093996,51.0,Shrub
2022-12-05 00:54:30.678734592,434870.3184454741,7766966.076533528,44.37069333548784,0.02008566314198071,44.57111325574728,0.009907128440626566,-0.0018858360449737778,1,0.200419920259435,0.1803342571174543,51.0,Shrub
2022-12-05 00:54:30.681562880,434868.35611133307,7766985.986179736,44.336257089833396,0.03541414313944832,44.54016585056839,0.009266893465783126,-0.0004709948592550185,1,0.20390876073499697,0.16849461759554865,51.0,Shrub
